Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
"Millionaire (Williams 1987)",Williams,1987,"Affluence, Money",4,1597,-,SS,VPX,"Goldchicco, Hmueck, Movieguru, Vogliadicane, Albert, Iaakki, Andrei Maraklov, Arngrim, Batch, 32assassin, JPSalas",1.0d-beta,2023-06-25
"Minecraft (Original 2020)",Original,2020,"Video Game, Kids",4,-,-,SS,VPX,"Davor Lipovac, Ivantba, JPSalas",1.2,2020-04-20
"Mini Cycle (Gottlieb 1970)",Gottlieb,1970,"Motorcycles",2,1604,-,EM,VPX,"Loserman76, Grizz, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, HauntFreaks, JPSalas",1.0.0f,2021-12-17
"Mini Cycle (Gottlieb 1970)",Gottlieb,1970,"Motorcycles",2,1604,-,EM,VPX,"Loserman76, HauntFreaks",1.0.1,2021-12-04
"Mini Golf (Williams 1964)",Williams,1964,"Sports, Golf",-,3434,-,EM,VPX,"CactusDude (Warbler33), JPO, Thalamus",1.2,2023-06-07
"Mini Pool (Gottlieb 1969)",Gottlieb,1969,"Billiards",1,1605,-,EM,VPX,"Loserman76",1.0.0f,2021-12-17
"Mini-Baseball (Chicago Coin 1972)",Chicago Coin,1972,"Sports, Baseball, Flipperless",1,5985,-,EM,VPX,"Tgx",1.7,2023-08-27
"Minions Pinball (Original 2015)",Original,2015,"Movie, Animation, Kids",1,-,-,SS,FP,"NitroNimbus, rom",2.0,2023-10-10
"Minions Pinball (Original 2015)",Original,2015,"Movie, Animation, Kids",1,-,-,SS,VPX,"Solters, NitroNimbus, DrSandraNo, Hawkeyez88, Javier, rom",1.0,2022-08-11
"Minions Pinball (Original 2015)",Original,2015,"Movie, Animation, Kids",1,-,-,SS,VPX,"NitroNimbus, DrSandraNo, Hawkeyez88, Javier, rom",3.0.1,2022-07-25
"Minions Pinball (Original 2015)",Original,2015,"Movie, Animation, Kids",1,-,-,SS,VPX,"DrSandraNo, NitroNimbus, Javier, rom",3.0.0,2022-01-12
"Minions Pinball (Original 2015)",Original,2015,"Movie, Animation, Kids",1,-,-,SS,VPX,"Javier, rom",1.0,2017-01-25
"Minions Pinball (Original 2015)",Original,2015,"Movie, Animation, Kids",1,-,-,SS,FP,"rom",1.3,2023-09-13
"Miraculous (Original 2019)",Original,2019,"Movie, Animation, Kids",-,-,-,EM,VPX,"JPSalas",4.3.0,2023-11-02
"Misfits (Original 2019)",Original,2019,"Music",4,-,-,SS,VPX,"Kenji, Siggi",1.0,2019-10-06
"Miss World (Geiger 1982)",Geiger,1982,"Fantasy",4,3970,-,SS,VPX,"Jbg4208, Thalamus, Wildman, Warioland, Armyaviation, 32assassin, TAB",1.0.0,2021-12-13
"Miss-O (Williams 1969)",Williams,1969,"Billiards",1,1612,-,EM,VPX,"HauntFreaks, BorgDog, Arngrim, Popotte",2.0,2023-03-16
"Miss-O (Williams 1969)",Williams,1969,"Billiards",1,1612,-,EM,FP,"Popotte",2.0,2023-08-06
"Missing In Action (Original 2018)",Original,2018,"Movie",-,-,-,SS,VPX,"Ivantba, Xenonph, JPSalas",1.1,2018-11-06
"Mission Impossible - Limited Edition (Original 2022)",Original,2022,"Movie",-,-,-,SS,VPX,"Marty02, JPSalas",2.6,2022-12-27
"Mississippi (Recreativos Franco 1973)",Recreativos Franco,1973,"American Places, Cards, Gambling",1,5955,-,EM,VPX,"JPSalas, Loserman76, Elo_Rey, Kiwi, Leeoneil, Akiles50000, Arngrim",4.0.0,2022-10-21
