Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Bond 60th (Original 2022),Original,2022,"Movie, Espionage",-,-,-,SS,VPX,"Ext2k, Marty02, Timblo",1.0.0,2024-01-05,Bond 60th
Bond 60th - Limited Edition (Original 2023),Original,2023,"Movie, Espionage",-,-,-,-,VPX,"Ext2k, Marty02, JPSalas",1.0.0,2024-01-09,Bond 60th - Limited Edition
Bravestarr (Original 2021),Original,2021,"Animation, Cartoon, Kids",1,-,-,EM,VPX,"MellerMeller, JPSalas",1.0,2024-01-11,Bravestarr
Breaking Bad (Original 2021),Original,2021,"TV Show, Crime",4,-,-,SS,VPX,"VP_Cooks, Humankind14, Laurynsach, JPSalas",1.0.1,2022-10-14,Breaking Bad
Britney Spears (Original 2021),Original,2021,Music,-,-,-,SS,VPX,"Phenom, Buffalo Pin Bro, Dvs626, Hawkeyez88, NJ, Pinball Picasso, PEandS1ws, Chucky87, JPSalas, Goldchicco, TCDeez",1.1.0,2021-11-28,Britney Spears
Bubba the Redneck Werewolf (Original 2017),Original,2017,"Horror, Supernatural",-,-,-,SS,VPX,"BorgDog, HauntFreaks, Bord",1.1,2022-03-21,Bubba the Redneck Werewolf
Bubble Bobble (Original 2006),Original,2006,Video Game,-,-,-,-,FP,"GeorgeH, Ruckage",1.0,2023-10-04,Bubble Bobble
Buffy The Vampire Slayer (Original 2022),Original,2022,"TV Show, Supernatural",-,-,-,SS,VPX,"VP_Cooks, JPSalas",1.0.1,2022-10-20,Buffy The Vampire Slayer
Bugs and Jokers (Original 2023),Original,2023,"Bugs, Insects",2,-,-,EM,VPX,Wildlifewizard,1.0,2023-12-23,Bugs and Jokers
CARtoons RC (Original 2017),Original,2017,"Comics, Auto Racing",-,-,-,EM,VPX,"Wylte, Randr, Dark, Toxie, Fuzzel, BorgDog, HauntFreaks, SliderPoint",1.3f,2023-01-31,CARtoons RC
Caballeros del Zodiaco - Saint Seiya Pinball (Original 2022),Original,2022,Anime,-,-,-,SS,VPX,"Jicho2003, JPSalas",1.0.3,2022-02-07,Caballeros del Zodiaco - Saint Seiya Pinball
Cannon Fodder (Original 2018),Original,2018,Video Game,-,-,-,SS,VPX,"Ivantba, Xenonph, BorgDog, JPSalas",1.1,2018-11-06,Cannon Fodder
Captain Future Edition (Original 2022),Original,2022,"Anime, Science Fiction",-,-,-,SS,VPX,"Icepinball, TBA, SliderPoint",1.0.0,2022-06-28,Captain Future Edition
Carcariass Pinball Chaos (Original 2021),Original,2021,"Music, Heavy Metal",-,-,-,SS,VPX,Loliv45,1.1,2021-03-27,Carcariass Pinball Chaos
Carrie Underwood (Original 2021),Original,2021,"Music, Country and Western",4,-,-,SS,VPX,"Phenom, Hawkeyez88, BuffaloPinPro, Goldchicco",1.0,2023-06-05,Carrie Underwood
Cenobite (Original 2023),Original,2023,Horror,-,-,-,SS,VPX,"UncleWilly, HauntFreaks, JPSalas, MrGrynch",1.0.0,2023-10-27,Cenobite
Champions League - Libertadores narracao Brasileira (Original 2020),Original,2020,"Sports, Soccer",4,-,-,SS,VPX,Valkimpro,10.1,2020-02-22,Champions League - Libertadores narracao Brasileira
Champions League - Season 2017 (Original 2017),Original,2017,"Sports, Soccer",4,-,-,SS,VPX,"Ninuzzu, Tom Tower",1.4,2019-03-19,Champions League - Season 2017
Champions League - Season 2018 (Original 2017),Original,2017,"Sports, Soccer",4,-,-,SS,VPX,"Ninuzzu, Tom Tower, Shoopity, Flupper, Knorr, UltraPeepi, VPX Dev Team, Arngrim, JPSalas",1.0,2022-04-03,Champions League - Season 2018
Champions League - Season 2018 - St. Pauli (Original 2018),Original,2018,"Sports, Soccer",4,-,-,SS,VPX,"Bambi Plattfuss, Tom Tower, Dids666, Jorg, Ninuzzu, HauntFreaks, Nailbuster",1.0,2018-10-08,Champions League - Season 2018 - St. Pauli
Champions League 2020 (Original 2020),Original,2020,"Sports, Soccer",4,-,-,SS,VPX,"Donuts10, Tom Tower, Ninuzzu",1.1,2020-10-10,Champions League 2020
Champions League 2021 (Original 2020),Original,2020,"Sports, Soccer",4,-,-,SS,VPX,"Solters, Donuts10, Tom Tower, Ninuzzu, Nailbuster",1.0,2022-07-23,Champions League 2021
Champions League 2023 (Original 2023),Original,2023,"Sports, Soccer",-,-,-,SS,VPX,Donuts,1.0.0,2023-12-17,Champions League 2023
Charlie Brown Christmas (Original 2023),Original,2023,"Animation, Comic, Christmas, Kids",-,-,-,EM,VPX,"iDigStuff, Apophis, HauntFreaks, DarthVito, Leojreimroc, TastyWasps, DaRdog81, RetroG33k, Passion4pins, Studlygoorite, Bietekwiet, JPSalas",1.1,2023-12-24,Charlie Brown Christmas
Cheech & Chong_ Road-Trip'pin (Original 2021),Original,2021,"Movie, Roap Trip, Comedy",-,-,-,-,VPX,"Senseless, Watacaractr, Rawd, Steely, Caligula",1.0.0,2023-04-10,Cheech & Chong_ Road-Trip'pin
Cheese Squad (Original 2023),Original,2023,-,-,-,-,-,VPX,Wildlifewizard,1.2,2023-08-23,Cheese Squad
Cherry Coke (Original 2020),Original,2020,Drinking,4,-,-,SS,VPX,"Ivantba, Mfuegemann, Pmax65, Akiles50000, JPSalas",1.0,2020-06-01,Cherry Coke
Child's Play (Original 2017),Original,2017,"Horror, Movie",4,-,-,EM,VPX,Hursty,1.0,2018-09-04,Child's Play
Chime Speed Test Table (Original 2021),Original,2021,"Testing, Example",-,-,-,EM,VPX,Scottacus,1.0,2021-03-03,Chime Speed Test Table
Chris Cornell Tribute (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"Darthwhat, Aaron James, Destruk, Goldchicco",1.1.0,2023-06-18,Chris Cornell Tribute
Christmas Pinbal (Original 2018),Original,2018,Christmas,-,-,-,SS,VPX,"Xenonph, Lizard, Flupper, HiRez00, Rsperanza, Stefanaustria (STAT), BorgDog, JPSalas",4.1,2022-12-03,Christmas Pinbal
Christmas Vaction (Original 2023),Original,2023,"Movie, Comedy, Christmas",-,-,-,SS,VPX,"Virtualman, GauGau",1.2,2023-12-23,Christmas Vaction
Chrono Trigger (Original 2022),Original,2022,Video Game,-,-,-,SS,VPX,"cHuGaLaeFoo, Wylte, Kiltem, Smaugdragon, FriscoPinball, Apophis, JPSalas",1.17,2023-02-14,Chrono Trigger
Chuck Berry (Original 2020),Original,2020,Music,4,-,-,SS,VPX,"John22, JPSalas",1.1,2020-12-04,Chuck Berry
Circus Starr (Original 2016),Original,2016,Circus,-,-,-,-,FP,"VP1000, Mark Bouchard",1.1,2023-12-06,Circus Starr
Clockwork Orange Edition 1.00 (Original 2022),Original,2022,Movie,-,-,-,SS,VPX,"Icepinball, Akiles50000, Mfuegemann, Ivantba",1.0,2022-07-15,Clockwork Orange Edition 1.00
Cloudy with a Chance of Meatballs (Original 2021),Original,2021,Animation,-,-,-,SS,VPX,"Phenom, iDigStuff, Dvs626, Chucky87, Loserman76, Hawkeyez88, Pinball Picasso, PEandS1ws, JPSalas, Goldchicco, TCDeez",1.0.,2023-06-04,Cloudy with a Chance of Meatballs
Clue (Original 2018),Original,2018,"Detective, Crime, Board Games",-,-,-,SS,VPX,"Fusionwerks, Flupper, ScottyWic, Roccodimarco, Thalamus, Xenonph, Arngrim, HauntFreaks, JPSalas, Nailbuster",1.2,2018-10-28,Clue
Clutch (Original 2021),Original,2021,"Music, Heavy Metal",-,-,-,-,VPX,"MellerMeller, Mofstedahl, Miles Travertine",1,2023-08-06,Clutch
Cobra (Original 2022),Original,2022,"Anime, Science Fiction",-,-,-,SS,VPX,"Cez60, 7he S4ge, 32assassin",1.0.0,2022-03-13,Cobra
Coldplay Pinball (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"Darthwhat, Hawkeyez88, Destruk, Goldchicco",1.1.0,2021-04-12,Coldplay Pinball
Comic Book Guy (Original 2021),Original,2021,"Animation, Cartoon, Kids",1,-,-,EM,VPX,MellerMeller,1.1,2024-01-11,Comic Book Guy
Commando - Schwarzenegger (Original 2020),Original,2020,"Celebrities, Licensed Theme, Movie",-,-,-,SS,VPX,"Ivantba, 32assassin",1.0,2020-03-23,Commando - Schwarzenegger
Cool Spot 7UP Pinball (Original 2019),Original,2019,"Video Game, Kids",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-07-01,Cool Spot 7UP Pinball
Copa Libertadores 2018 (Original 2018),Original,2018,"Sports, Soccer",-,-,-,SS,VPX,"Kalavera, Tomás, Tom Tower, Ninuzzu",1.0,2018-06-14,Copa Libertadores 2018
Cosmic Lady (Original 2018),Original,2018,"Outer Space, Mysticism",-,-,-,SS,VPX,McSquid,0.9,2018-12-04,Cosmic Lady
Crazy Cats Demo Derby (Original 2023),Original,2023,Demolition Derby,-,-,-,EM,VPX,Neo,1.1.0,2023-08-14,Crazy Cats Demo Derby
Creepshow (Original 2021),Original,2021,Horror,-,-,-,SS,VPX,"Balutito, GAGPin, PEandS1Ws, Dtatane, Nesta78, 32assassin",1.2,2022-01-25,Creepshow
Creepy House (Original 2006),Original,2006,Horror,-,-,-,-,FP,Anthias,1.1,2023-10-07,Creepy House
Crysis (Original 2018),Original,2018,Video Game,-,-,-,SS,VPX,"Ivantba, Xenonph, Rothbauerw",1.2,2019-02-01,Crysis
Cuphead Pro (Original 2019),Original,2019,"Video Game, Kids",-,-,-,EM,VPX,"MauiPunter, Scottacus, Onevox, Bord, Wylte, Jagandy82",1.2,2023-11-18,Cuphead Pro
Cyber Race (Original 2023),Original,2023,"Cyberpunk, Racing",-,-,-,SS,VPX,"Flux, Karl Casey, Sixtoe, Primetime5k, Jsm, Mcarter78, Apophis, Tomate, AstroNasty, Niwak, eMBee, Rawd, Arelyel, Fleep, nFozzy, Wylte, Rothbauerw, Oqqsan, DGrimmReaper",1.3.2,2024-01-12,Cyber Race
DOF Test Table (Original 2017),Original,2017,"Testing, Example",-,-,-,-,VPX,BorgDog,1.6,2023-07-27,DOF Test Table
Daft Punk (Original 2020),Original,2020,Music,4,-,-,SS,VPX,Donuts10,1.1,2020-05-04,Daft Punk
Dante's Inferno (Original 2022),Original,2022,"Fantasy, Horror",-,-,-,SS,VPX,"Bombaj344, Timo Behrens, Scutters, Batch, Goldchicco",1.1a,2022-01-25,Dante's Inferno
Dark Princess (Original 2020),Original,2020,Music,-,-,-,SS,VPX,"Froggy Crew, Franck Hollinger (Mussinger), Emperor312",1.3.1,2023-06-25,Dark Princess
Darkest Dungeon (Original 2023),Original,2023,Role-playing Game,-,-,-,SS,VPX,"Vpxpinballwizards, JPSalas, MerlinRTP, H3rbskix, Oqqsan, TastyWasps, Rawd, AstroNasty, Anthem, Superhac, JoePicasso, DarrinVPCLE, Smaug, nFozzy, Rothbauerw, NailBuster, Arelyel Krele, Fleep, PrimeTime5k, RetroG33k",2.1,2023-12-24,Darkest Dungeon
Darth Vader (Original 2020),Original,2020,"Science Fiction, Space Fantasy, Movie",-,-,-,-,FP,Mark1,4.0,2023-08-17,Darth Vader
Day of the Tentacle (Original 2023),Original,2023,Video Game,-,-,-,SS,VPX,"Ryguy417, Manbearpig, HiRez00, Cliffy",1.1,2023-01-19,Day of the Tentacle
Days of Thunder (Original 2022),Original,2022,"Auto Racing, Movie",-,-,-,SS,VPX,"Nesto71, JPSalas",1.0,2022-03-16,Days of Thunder
Death Proof (Original 2021),Original,2021,Movie,-,-,-,SS,VPX,"Balutito, Herweh, Franck Hollinger (Mussinger)",1.0.0,2021-11-29,Death Proof
Death Race 2000 (Original 2022),Original,2022,"Movie, Auto Racing",-,-,-,SS,VPX,"Balutito, Razor, JPSalas",2.0,2023-12-31,Death Race 2000
Death Wish 3 (Original 2019),Original,2019,Movie,4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-12-10,Death Wish 3
Def Leppard (Original 2012),Original,2012,Music,-,-,-,SS,VPX,"Goldchicco, Aaron James, Destruk, Doogie, JPSalas",1.3,2020-08-25,Def Leppard
Demogorgon (Original 2020),Original,2020,"Science Fiction, Licensed Theme",-,-,-,SS,VPX,"Fastdraw (Granit), Fastdraw (Granit)",1.0,2020-01-04,Demogorgon
